symbol,start_time_utc8,end_time_utc8,direction,spike_size_pips,duration_minutes,candle_count,opposing_candles,elbow_type
XAUUSD,2026-01-29 06:32:00+08:00,2026-01-29 06:40:00+08:00,bull,2400.0,9,9,3,Double
XAUUSD,2026-01-29 06:41:00+08:00,2026-01-29 06:50:00+08:00,bull,1566.0,10,10,3,Double
XAUUSD,2026-01-29 06:51:00+08:00,2026-01-29 06:56:00+08:00,bear,2216.0,6,6,3,Double
XAUUSD,2026-01-29 06:57:00+08:00,2026-01-29 07:02:00+08:00,bear,1688.0,6,6,3,Double
XAUUSD,2026-01-29 07:03:00+08:00,2026-01-29 07:09:00+08:00,bull,1320.0,7,7,3,Double
XAUUSD,2026-01-29 07:10:00+08:00,2026-01-29 07:19:00+08:00,bear,1657.0,10,10,3,Double
XAUUSD,2026-01-29 07:20:00+08:00,2026-01-29 07:24:00+08:00,bull,633.0,5,5,3,Double
XAUUSD,2026-01-29 07:25:00+08:00,2026-01-29 07:30:00+08:00,bull,954.0,6,6,3,Double
XAUUSD,2026-01-29 07:31:00+08:00,2026-01-29 07:38:00+08:00,bull,791.0,8,8,3,Double
XAUUSD,2026-01-29 07:39:00+08:00,2026-01-29 07:44:00+08:00,bear,346.0,6,6,3,Double
XAUUSD,2026-01-29 07:45:00+08:00,2026-01-29 07:51:00+08:00,bear,1900.0,7,7,3,Double
XAUUSD,2026-01-29 07:52:00+08:00,2026-01-29 07:58:00+08:00,bull,2226.0,7,7,1,Single
XAUUSD,2026-01-29 07:59:00+08:00,2026-01-29 07:59:00+08:00,bear,318.0,1,1,0,None
XAUUSD,2026-01-29 09:01:00+08:00,2026-01-29 09:04:00+08:00,bull,3031.0,4,4,3,Double
XAUUSD,2026-01-29 09:05:00+08:00,2026-01-29 09:09:00+08:00,bear,2463.0,5,5,3,Double
XAUUSD,2026-01-29 09:10:00+08:00,2026-01-29 09:14:00+08:00,bear,2672.0,5,5,3,Double
XAUUSD,2026-01-29 09:15:00+08:00,2026-01-29 09:21:00+08:00,bull,2409.0,7,7,3,Double
XAUUSD,2026-01-29 09:22:00+08:00,2026-01-29 09:27:00+08:00,bull,1270.0,6,6,3,Double
XAUUSD,2026-01-29 09:28:00+08:00,2026-01-29 09:40:00+08:00,bull,11420.0,13,13,3,Double
XAUUSD,2026-01-29 09:42:00+08:00,2026-01-29 09:52:00+08:00,bear,8402.0,11,11,3,Double
XAUUSD,2026-01-29 09:53:00+08:00,2026-01-29 09:57:00+08:00,bear,4653.0,5,5,3,Double
XAUUSD,2026-01-29 09:59:00+08:00,2026-01-29 10:06:00+08:00,bear,7205.0,8,8,3,Double
XAUUSD,2026-01-29 10:07:00+08:00,2026-01-29 10:13:00+08:00,bull,1749.0,7,7,3,Double
XAUUSD,2026-01-29 10:14:00+08:00,2026-01-29 10:21:00+08:00,bear,3799.0,8,8,3,Double
XAUUSD,2026-01-29 10:22:00+08:00,2026-01-29 10:30:00+08:00,bull,2887.0,9,9,3,Double
XAUUSD,2026-01-29 10:31:00+08:00,2026-01-29 10:38:00+08:00,bull,3118.0,8,8,3,Double
XAUUSD,2026-01-29 10:39:00+08:00,2026-01-29 10:45:00+08:00,bull,3056.0,7,7,2,Double
XAUUSD,2026-01-29 10:46:00+08:00,2026-01-29 10:49:00+08:00,bull,1955.0,4,4,3,Double
XAUUSD,2026-01-29 10:50:00+08:00,2026-01-29 10:56:00+08:00,bull,2060.0,7,7,3,Double
XAUUSD,2026-01-29 10:57:00+08:00,2026-01-29 11:02:00+08:00,bull,5220.0,6,6,3,Double
XAUUSD,2026-01-29 11:03:00+08:00,2026-01-29 11:11:00+08:00,bear,4601.0,9,9,3,Double
XAUUSD,2026-01-29 11:12:00+08:00,2026-01-29 11:20:00+08:00,bull,3069.0,9,9,3,Double
XAUUSD,2026-01-29 11:21:00+08:00,2026-01-29 11:25:00+08:00,bear,2664.0,5,5,3,Double
